source,gen,id,question,ground_truth,hop_type,pipeline,is_coverage_error
Arem arem originates from the country of Indonesia where Joko Widodo is the leader and Indonesian is the language.,"The context provided does not include information about the leader of Indonesia, the country where Arem-arem originates. Therefore, based on the given information, the leader cannot be determined.",lettria_001,Who is the leader of the country where Arem arem originates?,Joko Widodo,t5,graphrag_hybrid,True
"Darinka Dentcheva (United States citizen) with birthdate as January 1, 1958 studied at Humboldt University. Her theory was influenced by Andrzej Piotr Ruszczyński.",Darinka Dentcheva studied at Humboldt University.,lettria_002,Where did Darinka Dentcheva study?,Humboldt University,t5,graphrag_hybrid,False
"Agustin Barboza was born in Paraguay and died in Asuncion, Gran Asunción.","Agustin Barboza was born in Asunción, Paraguay.",lettria_003,Where was Agustin Barboza born?,Paraguay,t5,graphrag_hybrid,False
"Akeem Ayers, who was number 39 in the draft pick, is currently a member of the Los Angeles Rams, having previously played with the New England Patriots.",Akeem Ayers previously played for the St. Louis Rams.,lettria_004,What team did Akeem Ayers previously play for?,New England Patriots,t5,graphrag_hybrid,False
"The comic character Bolt was created by Gary Cohn and Ernie Colon, the latter of which is a Puerto Rican national.","The comic character Bolt was created by Dan Mishkin, Ernie Colon, and Gary Cohn.",lettria_005,Who created the comic character Bolt?,Gary Cohn and Ernie Colon,t5,graphrag_hybrid,False
"1147 Stavropolis, an asteroid, discovered on 11 June 1929 with absolute magnitude of 11.5, has an apoapsis of 418476000000.0 AU.","The provided context only includes information about the discovery date of the asteroid 1147 Stavropolis, which is 1929-06-11 (11 June 1929). However, there is no information given about the apoapsis of this asteroid.

Therefore, based on the given context, the apoapsis of the asteroid discovered on 11 June 1929 cannot be determined.",lettria_006,What is the apoapsis of the asteroid discovered on 11 June 1929?,418476000000.0 AU,t5,graphrag_hybrid,True
"1147 Stavropolis, discovered by Grigory Neujmin, has an absolute magnitude of 11.5.",1147 Stavropolis was discovered by Grigory Neujmin.,lettria_007,Who discovered 1147 Stavropolis?,Grigory Neujmin,t5,graphrag_hybrid,False
The United States is the country of Bacon Explosion. Barack Obama is the leader and Washington D.C. is the capital.,"The Bacon Explosion comes from the United States. However, the provided context does not include any information about the leader of the United States. Therefore, based solely on the given context, the leader cannot be determined.",lettria_008,Who is the leader of the country where Bacon Explosion comes from?,Barack Obama,t5,graphrag_hybrid,True
Pop rock is the genre of the band Train.,The genre of the band Train is pop-rock and Pop rock.,lettria_009,What is the genre of the band Train?,Pop rock,t5,graphrag_hybrid,False
The A Rosa Luna is powered by a MTU Friedrichshafen engine. It was built by Neptun Werft in Rostock.,The A-Rosa Luna was built by Neptun Werft.,lettria_010,Who built the A Rosa Luna?,Neptun Werft,t5,graphrag_hybrid,False
